Title,Top 3 Holland Codes
Giám đốc điều hành,"Enterprising (6.96), Conventional (4.97), Social (3.54)"
Người quản lý quảng cáo và khuyến mãi,"Enterprising (7.0), Conventional (4.43), Artistic (3.87)"
Giám đốc tiếp thị,"Enterprising (7.0), Conventional (4.7), Investigative (2.9)"
Người quản lý dịch vụ hành chính,"Enterprising (6.47), Conventional (6.27), Social (3.74)"
Quản lý cơ sở vật chất,"Enterprising (5.35), Conventional (5.35), Realistic (4.15)"
Người quản lý hệ thống thông tin và máy tính,"Conventional (5.94), Enterprising (5.09), Investigative (4.49)"
Người quản lý tài chính,"Enterprising (7.0), Conventional (5.56), Social (3.04)"
Quản lý chuỗi cung ứng,"Enterprising (6.24), Conventional (5.25), Realistic (3.39)"
Quản lý nhân sự,"Enterprising (7.0), Conventional (5.54), Social (3.88)"
Quản lý xây dựng,"Enterprising (5.73), Conventional (4.8), Realistic (4.68)"
Cán bộ quản lý giáo dục từ mẫu giáo đến trung học,"Social (5.72), Enterprising (5.34), Conventional (4.68)"
Quản lý kiến trúc và kỹ thuật,"Enterprising (6.4), Investigative (4.56), Conventional (4.43)"
Quản lý khách sạn,"Enterprising (6.21), Conventional (5.22), Social (4.31)"
Người quản lý bưu điện và giám đốc thư,"Enterprising (6.0), Conventional (5.69), Social (3.35)"
Điều tra viên,"Investigative (4.94), Conventional (4.86), Enterprising (4.09)"
Người ước tính chi phí,"Conventional (6.44), Enterprising (4.65), Investigative (3.18)"
Kỹ sư Logistic,"Conventional (5.67), Investigative (5.22), Realistic (4.02)"
Tìm kiếm nhà chiến lược tiếp thị,"Enterprising (5.54), Conventional (4.68), Investigative (3.78)"
Kế toán viên và kiểm toán viên,"Conventional (7.0), Enterprising (3.87), Investigative (3.57)"
Thẩm định viên tài sản cá nhân và doanh nghiệp,"Conventional (6.0), Enterprising (4.65), Realistic (3.59)"
Thẩm định viên và định giá bất động sản,"Conventional (5.81), Enterprising (4.87), Investigative (2.85)"
Nhà phân tích ngân sách,"Conventional (7.0), Enterprising (4.91), Investigative (3.72)"
Nhà phân tích tín dụng,"Conventional (6.85), Enterprising (4.55), Investigative (3.79)"
Nhà phân tích bảo mật thông tin,"Conventional (6.08), Investigative (5.4), Realistic (3.56)"
Các nhà khoa học nghiên cứu máy tính và thông tin,"Investigative (7.0), Conventional (4.8), Realistic (3.74)"
Kiến trúc sư mạng máy tính,"Investigative (5.28), Conventional (5.06), Realistic (4.04)"
Quản trị viên cơ sở dữ liệu,"Conventional (6.61), Investigative (4.83), Enterprising (2.94)"
Kiến trúc sư cơ sở dữ liệu,"Conventional (6.12), Investigative (5.63), Enterprising (2.68)"
Quản trị viên hệ thống mạng và máy tính,"Conventional (6.18), Realistic (4.19), Investigative (4.04)"
Lập trình viên máy tính,"Conventional (5.92), Investigative (5.1), Realistic (3.37)"
Nhà phát triển phần mềm,"Investigative (6.05), Conventional (5.62), Realistic (3.61)"
Nhà phân tích và người kiểm tra đảm bảo chất lượng phần mềm,"Investigative (5.76), Conventional (5.67), Realistic (3.8)"
Nhà phát triển web,"Conventional (5.03), Investigative (5.01), Artistic (3.13)"
Nhà thiết kế trò chơi điện tử,"Artistic (6.38), Investigative (4.15), Enterprising (3.92)"
Quản trị viên web,"Conventional (5.54), Investigative (4.41), Enterprising (3.77)"
Kỹ sư bảo mật thông tin,"Conventional (6.06), Investigative (5.54), Realistic (4.3)"
Kỹ sư/Kiến trúc sư hệ thống máy tính,"Conventional (5.76), Investigative (5.46), Realistic (4.1)"
Người quản lý dự án công nghệ thông tin,"Enterprising (5.91), Conventional (5.31), Investigative (3.87)"
Các nhà toán học,"Investigative (7.0), Conventional (5.03), Artistic (3.23)"
Nhà phân tích nghiên cứu hoạt động,"Investigative (6.26), Conventional (5.76), Enterprising (3.14)"
Nhà thống kê,"Investigative (6.58), Conventional (6.03), Realistic (2.14)"
Kiến trúc sư,"Realistic (5.42), Investigative (4.73), Artistic (4.68)"
Kiến trúc sư cảnh quan,"Realistic (5.42), Investigative (4.73), Artistic (4.68)"
Người vẽ bản đồ và nhà đo ảnh,"Conventional (5.34), Investigative (5.18), Realistic (4.62)"
Giám định viên,"Conventional (5.29), Realistic (5.25), Investigative (4.73)"
Kỹ sư hàng không vũ trụ,"Investigative (6.05), Realistic (5.65), Conventional (4.44)"
Kỹ sư nông nghiệp,"Realistic (6.65), Investigative (6.29), Conventional (3.77)"
Kỹ sư sinh học và kỹ sư y sinh,"Investigative (6.75), Realistic (5.44), Conventional (4.48)"
Kỹ sư hóa học,"Realistic (6.27), Investigative (5.75), Conventional (4.54)"
kỹ sư xây dựng,"Realistic (6.43), Investigative (5.15), Conventional (4.61)"
Kỹ sư cầu đường,"Investigative (6.1), Realistic (5.17), Conventional (4.59)"
Kỹ sư nước/nước thải,"Realistic (5.62), Investigative (5.35), Conventional (4.53)"
Kỹ sư phần cứng máy tính,"Realistic (5.69), Investigative (5.56), Conventional (5.37)"
Kỹ sư điện,"Realistic (6.02), Investigative (5.45), Conventional (4.43)"
"Kỹ sư điện tử, ngoại trừ máy tính","Realistic (6.24), Investigative (5.81), Conventional (4.68)"
Kỹ sư môi trường,"Investigative (6.1), Realistic (5.17), Conventional (4.59)"
Kỹ sư hàng hải và kiến trúc sư hải quân,"Realistic (5.74), Investigative (5.71), Conventional (4.31)"
Kỹ sư vật liệu,"Realistic (5.88), Investigative (5.82), Conventional (4.11)"
Kỹ sư ô tô,"Realistic (6.17), Investigative (5.67), Conventional (4.06)"
Kỹ sư khai thác mỏ và địa chất,"Realistic (6.08), Investigative (5.58), Conventional (4.64)"
Kỹ sư năng lượng,"Realistic (5.9), Investigative (4.54), Conventional (4.12)"
Kỹ sư cơ điện tử,"Realistic (5.68), Investigative (5.55), Conventional (4.84)"
Kỹ sư quang tử,"Realistic (5.9), Investigative (5.88), Conventional (3.96)"
Kỹ sư Robot,"Realistic (6.18), Investigative (5.61), Conventional (4.48)"
Các nhà khoa học về đất và thực vật,"Investigative (6.71), Realistic (6.43), Conventional (3.41)"
Nhà vi trùng học,"Investigative (7.0), Realistic (5.29), Conventional (3.85)"
Nhà động vật học và nhà sinh vật học hoang dã,"Investigative (6.99), Realistic (5.43), Conventional (3.7)"
Các nhà khoa học y tế,"Investigative (5.7), Realistic (5.15), Conventional (3.98)"
Nhà tâm lý học thần kinh,"Investigative (7.0), Social (5.29), Conventional (3.32)"
Các nhà xã hội học,"Investigative (6.5), Social (4.36), Artistic (3.99)"
Nhà quy hoạch đô thị và khu vực,"Investigative (5.31), Enterprising (4.46), Conventional (3.96)"
Các nhà sử học,"Investigative (5.32), Conventional (4.87), Artistic (3.7)"
Luật sư,"Enterprising (5.51), Conventional (4.59), Investigative (4.38)"
"Trọng tài, hòa giải viên và hòa giải viên","Enterprising (4.63), Conventional (4.33), Social (4.24)"
"Thẩm phán, Thẩm phán sơ thẩm và Thẩm phán","Enterprising (5.27), Conventional (4.11), Social (3.96)"
Giáo viên Mẫu giáo,"Social (7.0), Artistic (3.99), Conventional (3.8)"
Giáo viên Tiểu học,"Social (7.0), Artistic (3.87), Conventional (3.78)"
Giáo viên Trung học Cơ sở,"Social (7.0), Artistic (4.1), Conventional (3.56)"
Giáo viên dạy nghề/kỹ thuật,"Social (7.0), Conventional (3.92), Artistic (3.46)"
Giáo viên Trung học,"Social (7.0), Artistic (3.77), Conventional (3.61)"
Giám đốc nghệ thuật,"Artistic (7.0), Enterprising (5.24), Conventional (3.6)"
"Nghệ sĩ mỹ thuật, bao gồm họa sĩ, nhà điêu khắc và họa sĩ minh họa","Artistic (7.0), Realistic (4.05), Investigative (2.68)"
Nghệ sĩ và họa sĩ hoạt hình hiệu ứng đặc biệt,"Artistic (7.0), Realistic (3.71), Conventional (3.13)"
Nhà thiết kế thời trang,"Artistic (7.0), Realistic (4.34), Enterprising (3.96)"
Nhà thiết kế đồ họa,"Artistic (7.0), Conventional (3.92), Enterprising (3.43)"
Nhà thiết kế nội thất,"Artistic (5.56), Realistic (4.12), Conventional (3.82)"
