Ngành Tiếng Việt,Trường,Mã ngành,Tổ hợp,Phương thức,Điểm chuẩn,Ghi chú
Âm nhạc học,Điểm chuẩn năm 2024 - NVS - Nhạc viện tp.hcm,7210201,1,Điểm chuẩn theo Điểm thi THPT năm 2022,20,
Âm nhạc học,Điểm chuẩn năm 2024 - NVH - học viện âm nhạc quốc gia Việt Nam,7210201,0,Điểm chuẩn theo Điểm thi THPT năm 2016,22,
Âm nhạc học,Điểm chuẩn năm 2024 - DVT - Trường đại học Trà Vinh,7210201,N00,Điểm chuẩn theo Điểm thi THPT năm 2024,15,
Âm nhạc học,Điểm chuẩn năm 2024 - DVT - Trường đại học Trà Vinh,7210201,N00,Điểm chuẩn theo Điểm học bạ năm 2024,18,
An toàn thông tin,Điểm chuẩn năm 2024 - BVS - Học viện công nghệ bưu chính viễn thông (Cơ sở TP.HCM),7480202,A00; A01,Điểm chuẩn theo Điểm thi THPT năm 2024,24.68,TTNV<=11
An toàn thông tin,Điểm chuẩn năm 2024 - BVS - Học viện công nghệ bưu chính viễn thông (Cơ sở TP.HCM),7480202,,Điểm chuẩn theo Điểm ĐGNL HN năm 2024,15.8,
An toàn thông tin,Điểm chuẩn năm 2024 - BVS - Học viện công nghệ bưu chính viễn thông (Cơ sở TP.HCM),7480202,,Điểm chuẩn theo Điểm ĐGNL HCM năm 2024,15.8,
An toàn thông tin,Điểm chuẩn năm 2024 - BVS - Học viện công nghệ bưu chính viễn thông (Cơ sở TP.HCM),7480202,,Điểm chuẩn theo Điểm Đánh giá Tư duy năm 2024,15.8,
An toàn thông tin,Điểm chuẩn năm 2024 - BVS - Học viện công nghệ bưu chính viễn thông (Cơ sở TP.HCM),7480202,A00; A01,Điểm chuẩn theo Điểm xét tuyển kết hợp năm 2024,21.89,Học bạ và CCQT
An toàn thông tin,Điểm chuẩn năm 2024 - TCT-Trường đại học Cần Thơ,7480202,A00; A01,Điểm chuẩn theo Điểm thi THPT năm 2024,23.75,
An toàn thông tin,Điểm chuẩn năm 2024 - TCT-Trường đại học Cần Thơ,7480202,A00; A01,Điểm chuẩn theo Điểm học bạ năm 2024,27.5,
An toàn thông tin,Điểm chuẩn năm 2024 - TCT-Trường đại học Cần Thơ,7480202,A00; A01,Điểm chuẩn theo Điểm Đánh giá đầu vào V-SAT năm 2024,306,
An toàn thông tin,Điểm chuẩn năm 2024 - DKC - Trường đại học công nghệ TP.HCM (HUTECH)(*),7480202,A00; A01; C01; D01,Điểm chuẩn theo Điểm thi THPT năm 2024,18,
An toàn thông tin,Điểm chuẩn năm 2024 - DKC - Trường đại học công nghệ TP.HCM (HUTECH)(*),7480202,A00; A01; C01; D01,Điểm chuẩn theo Điểm học bạ năm 2024,18,Đợt 1; 3 HK; Lớp 12
An toàn thông tin,Điểm chuẩn năm 2024 - DKC - Trường đại học công nghệ TP.HCM (HUTECH)(*),7480202,,Điểm chuẩn theo Điểm ĐGNL HCM năm 2024,650,
An toàn thông tin,Điểm chuẩn năm 2024 - DDT - Đại học Duy Tân (*),7480202,A00; A16; A01; D01,Điểm chuẩn theo Điểm thi THPT năm 2024,16,
An toàn thông tin,Điểm chuẩn năm 2024 - DDT - Đại học Duy Tân (*),7480202,A00; C01; C02; D01,Điểm chuẩn theo Điểm học bạ năm 2024,18,
An toàn thông tin,Điểm chuẩn năm 2024 - DDT - Đại học Duy Tân (*),7480202,,Điểm chuẩn theo Điểm ĐGNL HN năm 2024,85,
An toàn thông tin,Điểm chuẩn năm 2024 - DDT - Đại học Duy Tân (*),7480202,,Điểm chuẩn theo Điểm ĐGNL HCM năm 2024,650,
An toàn thông tin,Điểm chuẩn năm 2024 - DTC - Trường đại học công nghệ thông tin và truyền thông (ĐH Thái Nguyên),7480202,A00; C01; C14; D01,Điểm chuẩn theo Điểm thi THPT năm 2024,19.3,
