career_aspiration,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score
Luật sư,nam,không,3,không,27,7.3,8.1,9.3,9.7,6.3,8.0,8.7
Bác sĩ,nữ,không,2,không,47,9.0,8.6,9.6,10.0,9.0,8.8,9.0
Viên chức nhà nước,nữ,không,9,có,13,8.1,9.7,9.5,9.6,6.5,7.7,9.4
Nghệ sĩ,nữ,không,5,không,3,7.1,7.4,8.8,8.0,8.9,6.3,8.6
Nghiên cứu mạng xã hội,nam,không,5,không,10,8.4,7.7,6.5,6.5,8.0,7.4,7.6
Nghiên cứu mạng xã hội,nữ,không,2,không,26,9.3,10.0,6.7,7.8,7.2,8.0,8.4
Kỹ sư phần mềm,nam,không,3,có,23,9.9,9.6,9.7,7.3,8.8,7.6,6.4
Kỹ sư phần mềm,nam,có,2,có,34,9.5,9.5,8.2,6.3,8.4,7.0,8.5
Nghiên cứu mạng xã hội,nam,không,6,không,25,9.4,6.8,9.4,8.5,8.1,7.4,7.2
Giáo viên,nữ,không,3,có,18,9.8,6.9,8.8,7.1,6.7,7.1,7.3
Giáo viên,nữ,không,2,không,7,6.5,6.0,9.7,9.4,7.1,8.1,6.6
Nghiên cứu mạng xã hội,nam,không,1,không,7,8.0,6.1,10.0,6.5,8.7,6.4,6.1
Chủ doanh nghiệp,nữ,có,7,không,4,9.4,5.9,6.9,6.7,8.9,6.5,7.3
Chủ doanh nghiệp,nữ,không,10,không,2,6.6,9.4,8.6,10.0,5.7,9.0,6.3
Bác sĩ,nữ,không,3,không,39,9.6,9.0,8.6,9.2,9.2,9.5,8.7
Chủ doanh nghiệp,nam,không,6,không,0,9.4,5.0,7.8,6.4,7.9,7.4,8.4
Nhà khoa học,nữ,không,3,có,30,9.2,6.4,9.3,9.1,8.0,8.9,7.2
Kỹ sư phần mềm,nam,không,2,có,28,8.6,8.3,8.5,7.9,9.3,7.6,7.7
Bác sĩ,nam,không,1,không,37,9.2,8.7,9.2,9.9,9.7,8.7,8.6
Kỹ sư phần mềm,nữ,không,2,không,27,9.9,6.5,9.8,7.5,6.6,7.2,10.0
Kỹ sư phần mềm,nam,có,3,không,15,10.0,9.0,7.2,9.8,7.3,9.7,7.2
Chủ doanh nghiệp,nam,không,8,không,4,5.7,5.5,7.8,9.4,8.3,8.8,8.8
Chủ doanh nghiệp,nữ,không,9,không,2,8.9,7.2,6.8,7.2,7.1,5.4,9.0
Chủ doanh nghiệp,nam,không,9,không,1,5.0,7.6,8.1,5.5,5.6,8.0,7.9
Kỹ sư phần mềm,nữ,không,4,không,35,8.7,9.1,9.0,8.8,9.5,8.8,9.3
Bác sĩ,nữ,không,5,không,22,9.2,8.6,8.7,8.1,9.3,9.0,9.9
Nhân viên ngân hàng,nam,không,3,không,34,10.0,7.7,8.0,9.4,6.3,9.0,9.0
Nhà văn,nam,không,0,không,23,6.4,7.5,9.3,7.9,8.1,9.6,8.5
Kế toán,nam,không,1,có,17,7.9,6.5,9.9,7.1,7.6,7.7,8.3
Kế toán,nữ,không,3,không,19,8.2,10.0,6.1,9.7,3.0,7.4,7.3
Kỹ sư phần mềm,nữ,không,0,không,14,8.8,6.9,8.7,10.0,8.8,8.5,7.2
Nhà thiết kế,nữ,không,4,không,30,7.0,6.8,9.2,7.4,8.2,8.5,7.2
Kế toán,nam,không,4,không,30,7.7,9.6,9.8,8.9,8.5,6.2,6.2
Nhân viên ngân hàng,nữ,không,1,không,24,9.9,8.4,8.4,7.8,7.8,7.7,6.8
Nghiên cứu mạng xã hội,nữ,không,3,có,31,9.0,9.3,9.1,8.0,8.6,6.9,6.2
Nghiên cứu mạng xã hội,nữ,không,1,không,21,6.5,7.0,7.8,9.8,8.0,6.6,6.5
Kỹ sư xây dựng,nam,không,2,có,19,9.9,9.4,8.7,7.1,8.9,9.1,9.6
Kỹ sư xây dựng,nam,không,1,không,29,9.2,10.0,8.5,8.9,8.1,9.1,8.8
